country,year,crisis_bin,crisis_h1,crisis_h2,crisis_h3,z1,z2,z3,z4
Australia,1986,0,0,0,0,-0.0009351050266593099,0.0028769388084486248,-0.000500660752615238,0.0025057206919794615
Australia,1987,0,0,0,0,0.004800994051734366,-0.010444097136143384,0.016305490787084462,-0.008366832705025612
Australia,1988,0,0,0,0,0.00851512208294381,-0.007656372505749217,0.00864140476729466,0.009614967938206686
Australia,1989,0,0,0,0,-0.0006916550397808241,-0.003181680454828596,0.027066804059915295,-0.010375914416698984
Australia,1990,0,0,0,0,0.01864152165499305,-0.1460095107201382,0.08499422712398463,0.2346952395232307
Australia,1991,0,0,0,0,-0.07362414273070646,0.0018160750468169985,-0.11228380169705285,0.07473038642713531
Australia,1992,0,0,0,0,0.002502860751584366,-0.0245221195205648,-0.010214399697311383,0.06260188745732503
Australia,1993,0,0,0,0,0.04698424831574074,-0.010283172172012597,-0.034754238762763914,0.042195996024829145
Australia,1994,0,0,0,0,0.03469238381353034,-0.10399263773148283,0.04784240269231204,0.12165886833292315
Australia,1995,0,0,0,0,0.01965806644505877,-0.08701358938292303,0.024963701232016064,0.06423131567388923
Australia,1996,0,0,0,0,-0.0980998981033884,-0.05977324906118057,-0.05159388498650746,-0.05714801456864152
Australia,1997,0,0,0,0,-0.03452184383946555,0.034761752837489786,-0.01849821671504402,0.06168918477613206
Australia,1998,0,0,0,0,-0.05603983298134093,0.0545659315032293,-0.06826733824237798,0.03589589225341841
Australia,1999,0,0,0,0,-0.027827180898881736,0.03819913333367699,-0.09545224831049433,0.02415855882635513
Australia,2000,0,0,0,0,-0.037163107708122554,-0.005700852353506033,-0.05386985179001892,0.035186033787099426
Australia,2001,0,0,0,0,0.0020035670016013626,-0.051542681274878634,-0.11209115845660124,0.009298715167610149
Australia,2002,0,0,0,0,0.043420153559237826,-0.10593897874050123,-0.05136119799944564,-0.046384137728781395
Australia,2003,0,0,0,0,0.07847840593298124,-0.15765846302956918,-0.10931047171934904,-0.02836460565110811
Australia,2004,0,0,0,0,-0.019063056562998577,-0.1263186995130043,-0.27031323951019354,-0.1170083749376251
Australia,2005,0,0,0,0,-0.04129135743761232,-0.08453531126549332,-0.18273413348088607,0.002990485328225649
Australia,2006,0,0,0,0,-0.0746469583636954,0.043161357108653146,0.05353032625839841,0.012472903018330914
Australia,2007,0,0,0,0,-0.050723603732620144,0.055316521847754804,-0.10134867353096436,0.03173655781744044
Australia,2008,0,0,0,0,-0.04086016151055366,-0.15236862482013272,0.04852597709832505,0.11284325380005321
Australia,2009,0,0,0,0,-0.03236956985994951,-0.03401061918215167,0.09165744491504757,0.04380470567979877
Australia,2010,0,0,0,0,-0.1948169259237106,0.15804079512572605,-0.11150862069796276,-0.09254188567258001
Australia,2011,0,0,0,0,-0.03249960065921127,0.001904159838841981,-0.030388258526135956,0.09875303642196605
Australia,2012,0,0,0,0,-0.12811104717090543,0.06488409686733902,0.08477615482622483,0.08836063973019076
Australia,2013,0,0,0,0,-0.2965481455808642,0.3292179234261264,-0.26462173685399193,0.1431234366138661
Australia,2014,0,0,0,0,-0.16193200446579809,0.045732233411053654,-0.0997383494499317,0.17850629569170778
Australia,2015,0,0,0,0,-0.12292685937897344,-0.06983595142740558,-0.13278598674391368,-0.030488939978089307
Australia,2016,0,0,0,0,-0.026896257292797206,-0.1249443277472302,-0.24985151917730528,-0.030002978962524237
Australia,2017,0,0,0,0,-0.06315125236943585,-0.23765474288739333,-0.07982642396876584,0.2291848270226267
Australia,2018,0,0,0,0,-0.1145327592834403,0.044690361100620794,-0.09323513812209115,-0.013255263054146694
Australia,2019,0,0,0,0,-0.37645789233359794,0.3762502110085261,-0.21806179752227156,-0.15630747367212322
Australia,2020,0,0,0,0,-0.3948254938767713,0.617533822469233,-0.46307493057220417,0.02271102653494475
Belgium,1985,0,0,0,0,-0.01644872927425996,0.0067973609908650815,-0.0537136665614497,0.004639903825645619
Belgium,1986,0,0,0,0,0.0004129279932045557,-0.014145926809851573,0.007202175819646168,0.0008378180701328953
Belgium,1987,0,0,0,0,0.010908062120809522,-0.014444500614756288,0.010293070839914015,0.004570953375317373
Belgium,1988,0,0,0,0,-0.0049880615229974425,0.010024325978155548,0.003478794681895743,-0.012273849375347808
Belgium,1989,0,0,0,0,-0.000728381621257887,-0.011381561375358255,0.0023177488196598557,-0.012532418246751168
Belgium,1990,0,0,0,0,-0.0015832652276192953,0.013427896285378861,0.017923037648433893,0.009407607669324872
Belgium,1991,0,0,0,0,-0.03415558802619047,0.04601838897873083,0.12194455434794207,0.0013171731114574024
Belgium,1992,0,0,0,0,0.03475238099695449,-0.02837722148631274,0.16150661310263406,0.036534791592586685
Belgium,1993,0,0,0,0,0.0032898596660641865,0.01605961606370415,0.14692371589289288,-0.0728545370509928
Belgium,1994,0,0,0,0,-0.048969237792094895,0.049309359722956345,0.1777507641289461,-0.08014794098071677
Belgium,1995,0,0,0,0,-0.10401189765283066,0.09643403227992524,0.09504996319054884,-0.18199477805417888
Belgium,1996,0,0,0,0,-0.10086466729797004,0.10729778017066544,0.050368843167498345,-0.13780032536225462
Belgium,1997,0,0,0,0,-0.05556817456700247,0.33928293012951666,0.06197472195821531,-0.0583953040158949
Belgium,1998,0,0,0,0,-0.07060212417332737,0.0964758705456086,0.3207643098682779,-0.058430025162729916
Belgium,1999,0,0,0,0,-0.10388425915799258,-0.07412021141860795,0.4878076028250878,-0.10185705443410982
Belgium,2000,0,0,0,0,-0.1336438407828396,-0.0686249763049128,0.4360218573578798,-0.13446783898994807
Belgium,2001,0,0,0,0,-0.0942391859295092,-0.14498970106239253,0.5112570037880521,-0.10641616110694793
Belgium,2002,0,0,0,0,-0.03971283792450359,-0.00729644172180575,0.5046125235088279,-0.06310658582311517
Belgium,2003,0,0,0,0,-0.05958703621025005,-0.18718237695172704,0.6001834661953358,0.05536524503854967
Belgium,2004,0,0,0,0,-0.05002616714384127,-0.15446326829997176,0.3346020614750313,-0.22202215421420243
Belgium,2005,0,0,0,1,0.0002458340262542892,0.020780555601594412,0.370122517079697,-0.1349806354338164
Belgium,2006,0,0,1,1,0.029973843465017917,-0.22468620384958768,0.5064780910647025,-0.012592855354183183
Belgium,2007,0,1,1,1,-0.030906659594398242,-0.0040304708787241555,0.28522654195074065,-0.3234664331068196
Belgium,2008,1,0,0,0,-0.115127761599934,0.2136168797342683,-0.21721788242529455,-0.3815156864459551
Belgium,2009,1,0,0,0,0.07007637028178033,-0.0570363737974222,-0.1355046932152497,-0.049041370180053376
Belgium,2010,1,0,0,0,-0.03565207573838709,0.5270076191775891,-0.9092471405484336,0.01482359624613594
Belgium,2011,0,0,0,0,-0.19084386160861866,0.29057510574017154,-2.037538132493989,-0.2896241994713238
Belgium,2012,0,0,0,0,-0.1771550417598911,0.3843852306646167,0.01486294278909041,0.04433280548136621
Belgium,2013,0,0,0,0,-0.025856407107286736,0.7909323004771818,-1.242251515273768,-0.18537774395330814
Belgium,2014,0,0,0,0,-0.3129911401255583,0.8305757642384203,-3.1243151243780214,-0.33556263029616584
Belgium,2015,0,0,0,0,-0.039962310445911656,0.11843585157308274,-0.9082238850356701,-0.05886234592361001
Belgium,2016,0,0,0,0,-0.0494283422670182,0.5018659400796199,-2.2673514139618836,-0.2916241890751009
