year,country,iso,crisis_bin,crisis_lv,crisisJST,crisis_union,crisis_h1,crisis_h2,crisis_h3,tloans,tmort,lev,ltd,noncore,hpnom,housing_capgain,eq_capgain,stir,ltrate,bill_rate,gdp,iy,ca,cpi,debtgdp,money,bond_rate,housing_tr,eq_tr,tloans_gap,hpnom_gap,term_spread,tloans_growth
2018,Australia,AUS,0,0,0.0,0,0,0,0,2886285.6999999993,1667654.7999999998,5.808321102923579,116.71440632429623,41.31117397464443,501.85440034144625,-0.014383554458618164,-0.07729999721050262,1.5,2.684167,0.019483,1848560.0,0.24030289136526406,-38671.8752,197.17533917602987,0.4164,2098891.0,-0.00111728860065341,0.0021444112062454224,-0.037300001829862595,43593.14516588673,13.869710852451476,1.184167,0.04394025361041498
2019,Australia,AUS,0,0,0.0,0,0,0,0,2984482.2,1742405.1999999997,6.115676424886756,119.9283023052588,42.57341346895006,481.4530453930816,-0.04065346717834473,0.1817999929189682,1.1716666666666666,1.493333,0.013442,1952680.0,0.2272988610896266,13824.9744,200.26299887640442,0.46604999999999996,2149081.0,0.1045413464307785,-0.023824384436011314,0.23810000717639923,712.0114817949943,-24.590167992974614,0.3216663333333334,0.034021753286585854
2020,Australia,AUS,0,0,0.0,0,0,0,0,3032807.500000001,1800721.0000000002,6.2487879708694,108.96295621590768,46.22992488705515,507.4347054531415,0.053965091705322266,0.01769999973475933,0.32416666666666666,0.9208333,0.002567,1985760.0,0.224366713002159,52900.646400000005,202.04601363295876,0.57332,2422093.0,0.039429452270269394,0.07134337723255157,0.04919999837875366,-91810.7952142614,-16.625468159577224,0.5966666333333333,0.01619218905041575
1870,Belgium,BEL,0,0,1.0,1,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,0.012804031372070312,3.3835616438,4.02,0.03320297971367836,4518.980512773583,,-267.71301000000005,0.7120699379582628,0.15114,,0.04019999876618385,-0.08143642544746399,0.05885546654462814,,-0.020079003613822755,0.6364383561999998,
1871,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,0.059343691915273666,4.0547945205,4.0425,0.0332646481692791,4664.125886404035,,-438.9321899999999,0.7261703327693175,0.16016,,0.040424998849630356,-0.08143642544746399,0.10193062573671341,,-0.01357671345247391,-0.01229452049999935,
1872,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,0.21172787249088287,3.7465753425,3.9149999999999996,0.030574839562177658,5585.691244261518,,-413.56011999999976,0.754371122391427,0.131944,,0.03914999961853027,-0.08143642544746399,0.25858625769615173,,-0.007024225782090832,0.16842465749999969,
1873,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,0.12946373224258423,5.0657534247,3.8725,0.03345952928066254,5974.788186613347,,-312.66062999999997,0.8107727016356459,0.161846,,0.038724999874830246,-0.08143642544746399,0.18055005371570587,,-0.0003374013100080342,-1.1932534246999995,
1874,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,-0.04511655867099762,4.3890410959,4.08,0.0335787795484066,5791.151247675389,,-255.48000999999988,0.775521714608009,0.171812,,0.040800001472234726,-0.08143642544746399,0.02039906196296215,,0.006585459820894979,-0.3090410958999996,
1875,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,-0.12089557945728302,3.801369863,4.085,0.03364000841975212,5204.981034794232,,-464.79679,0.7473209249858996,0.193276,,0.04084999859333038,-0.08143642544746399,-0.07999185472726822,,0.01384690097101382,0.28363013699999984,
1876,Belgium,BEL,0,0,1.0,1,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,-0.14570485055446625,2.7,4.08,0.03374059125781059,5073.817241522671,,-408.05903999999987,0.7896221094190637,0.211281,,0.040800001472234726,-0.08143642544746399,-0.10533401370048523,,0.02153300185119167,1.38,
1877,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,-0.03415019437670708,2.6534246575,3.9875000000000003,0.033955398947000504,5083.4169514644545,,-374.66331000000014,0.7896221094190637,0.230161,,0.03987500071525574,-0.08143642544746399,0.0018992917612195015,,0.029695224919843777,1.3340753425000003,
1878,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.503338391138272,0.03245334327220917,-0.04083489999175072,3.2452054794999996,3.9699999999999998,0.033992718905210495,4998.7009315382265,,-385.24232000000006,0.7543711223914269,0.251865,,0.03970000147819519,-0.08143642544746399,-0.006560247391462326,,0.03833120013075786,0.7247945205000002,
1879,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.5196726898891534,0.03245334327220917,0.2738014757633209,3.0054794521,3.805,0.03402120992541313,4896.124726113331,,-347.00324999999987,0.7332205301748448,0.262658,,0.03804999962449074,-0.08143642544746399,0.32134297490119934,,0.06369861812630334,0.7995205479000003,
1880,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.39777042328535306,-0.23457635939121246,0.025428814813494682,3.298630137,3.6475,0.03402163088321686,5451.670608552963,,-480.91893000000016,0.697969543147208,0.261937,,0.03647499904036522,-0.08143642544746399,0.061406396329402924,,-0.0489458213079218,0.348869863,
1881,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.3956530141880166,-0.005322170909494162,-0.02799973078072071,4.0739726027,3.565,0.03408151865005493,5512.748749271571,,-332.02264000000014,0.697969543147208,0.267383,,0.03564999997615814,-0.08143642544746399,0.0033816054929047823,,-0.04191237796492647,-0.5089726026999997,
1882,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.4606877221776371,0.16437382996082306,-0.10227170586585999,4.3671232877,3.56,0.03360145166516304,5568.027122964976,,-324.4419200000001,0.6909193457416807,0.292565,,0.035599999129772186,-0.08143642544746399,-0.06664087623357773,,0.03195688963489718,-0.8071232877000001,
1883,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.4600827481498267,-0.0013132531894370914,-0.0712210088968277,3.5547945205,3.335,0.033456820994615555,5500.074884497839,,-295.73752000000013,0.697969543147208,0.320903,,0.03334999829530716,-0.08143642544746399,-0.03271814435720444,,0.03976564523118842,-0.21979452050000026,
1884,Belgium,BEL,0,0,0.0,0,0,0,0,,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.35935457251939124,-0.21893441677093506,-0.08124683052301407,3.2726027397,3.56,0.03456123173236847,5049.432309461782,,-166.0997400000001,0.6486181613085167,0.350141,,0.035599999129772186,-0.08143642544746399,-0.03409774228930473,,-0.0531540601413073,0.2873972603000001,
1885,Belgium,BEL,0,0,1.0,1,0,0,0,1405.5861,88.0925,12.95894718170166,72.2715835571289,1.5250768661499023,0.36994161800607367,0.029461117461323738,-0.06867677718400955,3.2397260274,3.4000000000000004,0.03459674119949341,4925.756207693246,,-131.4207899999999,0.6274675690919346,0.359739,,0.03400000184774399,-0.08143642544746399,-0.030099039897322655,76.88012802610774,-0.035647647255985515,0.1602739726000002,
1886,Belgium,BEL,0,0,0.0,0,0,0,0,1405.175,87.8455,12.95894718170166,72.2715835571289,1.5250768661499023,0.35995954654720164,-0.026982607319951057,-0.037011172622442245,2.7602739726,3.1300000000000003,0.03469594940543175,4766.180595951705,,-139.1580899999999,0.5781161872532431,0.400948,,0.031300000846385956,-0.08143642544746399,0.0036220739129930735,124.42220875923567,-0.03975041251830391,0.3697260274000005,-0.00029247585757996575
1887,Belgium,BEL,0,0,0.0,0,0,0,0,1400.3051,83.1713,12.95894718170166,72.2715835571289,1.5250768661499023,0.3902082479377228,0.08403155952692032,0.022359197959303856,3.0547945205,3.1175,0.034018829464912415,5041.73848839769,,-185.04574999999988,0.6133671742808798,0.383997,,0.031175000593066216,-0.08143642544746399,0.06295962631702423,167.3132891722987,-0.004724305357959979,0.06270547949999994,-0.003465689326952126
1888,Belgium,BEL,0,0,0.0,0,0,0,0,1357.801,76.1359,12.95894718170166,72.2715835571289,1.5250768661499023,0.4083574687720355,0.04651109129190445,0.10886826366186142,3.2712328767000005,3.1075,0.0338466614484787,5146.136798062948,,-276.9624799999998,0.5992667794698251,0.378539,,0.031075000762939453,-0.08143642544746399,0.1556205302476883,171.8747134233338,0.017137957626095213,-0.16373287670000058,-0.030353456543149138
1889,Belgium,BEL,0,0,0.0,0,0,0,0,932.375,79.8304,12.95894718170166,72.2715835571289,1.5250768661499023,0.40533259863298343,-0.007405285257846117,0.24327686429023743,3.5369863014,3.1075,0.033179640769958496,5388.417748637416,,-96.67678999999998,0.6133671742808798,0.369869,,0.031075000762939453,-0.08143642544746399,0.2971450984477997,-208.1027575525527,0.01681111358675097,-0.4294863013999999,-0.31331984583897043
1890,Belgium,BEL,0,0,0.0,0,0,0,0,1008.654,79.8619,12.95894718170166,72.2715835571289,1.5250768661499023,0.341810325712889,-0.15671806037425995,-0.029783768579363823,3.1780821918,2.9725,0.03278009966015816,5587.050666545611,,-209.81305999999995,0.6345177664974619,0.3628,,0.029725000262260437,-0.08143642544746399,0.015375316143035889,-89.34344960381327,-0.045021646607690036,-0.20558219180000004,0.081811502882424
